Spielrunde;Spielnummer;Spieldatum;Spielzeit;Teamname A;Teamname B;Spielort;Resultat
34;228076;04.05.2024;18:00;"Servette FC";"FC Winterthur";"Stade de Genève,   - Terrain principal";
34;228077;04.05.2024;20:30;"FC Lugano";"FC St. Gallen 1879";"Stadio Comunale Cornaredo, Lugano - A";
34;228078;05.05.2024;16:30;"FC Zürich";"BSC Young Boys";"Letzigrund, Zürich - Stadion";
35;228079;11.05.2024;20:30;"BSC Young Boys";"FC Lugano";"Stadion Wankdorf, Bern - Hauptfeld";
35;228080;12.05.2024;14:15;"FC Winterthur";"FC Zürich";"Schützenwiese, Winterthur - Platz 1";
35;228081;12.05.2024;16:30;"FC St. Gallen 1879";"Servette FC";"kybunpark, St. Gallen - Stadion";
36;228082;15.05.2024;20:30;"FC Zürich";"Servette FC";"Letzigrund, Zürich - Stadion";
36;228083;16.05.2024;20:30;"FC Lugano";"FC Winterthur";"Stadio Comunale Cornaredo, Lugano - A";
36;228084;16.05.2024;20:30;"BSC Young Boys";"FC St. Gallen 1879";"Stadion Wankdorf, Bern - Hauptfeld";
37;228085;20.05.2024;18:00;"Servette FC";"BSC Young Boys";"Stade de Genève,   - Terrain principal";
37;228086;20.05.2024;18:00;"FC Winterthur";"FC St. Gallen 1879";"Schützenwiese, Winterthur - Platz 1";
37;228087;20.05.2024;18:00;"FC Zürich";"FC Lugano";"Letzigrund, Zürich - Stadion";
38;228088;25.05.2024;20:30;"FC Lugano";"Servette FC";"Stadio Comunale Cornaredo, Lugano - A";
38;228089;25.05.2024;20:30;"FC St. Gallen 1879";"FC Zürich";"kybunpark, St. Gallen - Stadion";
38;228090;25.05.2024;20:30;"BSC Young Boys";"FC Winterthur";"Stadion Wankdorf, Bern - Hauptfeld";
